"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2021","81,070.29","82,825.43","83,129.97","78,009.86","0.07K","-2.12%"
"Oct 11, 2021","82,825.43","79,348.92","83,198.48","78,574.04","0.11K","4.38%"
"Oct 10, 2021","79,348.92","79,823.97","81,643.12","78,458.35","0.09K","-0.60%"
"Oct 09, 2021","79,823.97","78,010.28","80,145.63","77,721.30","0.05K","2.32%"
"Oct 08, 2021","78,010.28","77,566.70","81,099.87","77,439.28","0.07K","0.57%"
"Oct 07, 2021","77,566.70","79,934.74","79,934.74","76,994.78","0.11K","-2.96%"
"Oct 06, 2021","79,934.74","74,170.44","80,271.87","73,088.89","0.23K","7.77%"
"Oct 05, 2021","74,170.44","70,717.63","74,777.78","70,517.86","0.08K","4.88%"
"Oct 04, 2021","70,717.63","69,580.27","71,137.91","67,664.55","0.06K","1.63%"
"Oct 03, 2021","69,580.27","68,918.70","70,886.91","67,992.45","0.07K","0.96%"
"Oct 02, 2021","68,918.70","69,361.40","69,656.81","68,205.28","0.04K","-0.64%"
"Oct 01, 2021","69,361.40","63,365.69","69,791.31","62,854.89","0.16K","9.46%"
"Sep 30, 2021","63,365.69","60,532.31","63,796.37","60,410.20","0.11K","4.68%"
"Sep 29, 2021","60,532.31","59,053.69","61,553.34","58,765.57","0.07K","2.50%"
"Sep 28, 2021","59,053.69","60,385.62","61,272.59","58,955.96","0.06K","-2.21%"
"Sep 27, 2021","60,385.62","61,602.18","63,452.11","60,245.80","0.06K","-1.97%"
"Sep 26, 2021","61,602.18","61,254.24","62,653.33","58,559.73","0.09K","0.57%"
"Sep 25, 2021","61,254.24","61,274.92","61,560.55","59,669.20","0.04K","-0.03%"
"Sep 24, 2021","61,274.92","63,583.73","64,137.68","58,145.19","0.11K","-3.63%"
"Sep 23, 2021","63,583.73","62,352.85","63,588.94","61,600.40","0.08K","1.97%"
"Sep 22, 2021","62,352.85","58,231.82","62,723.07","57,861.67","0.10K","7.08%"
"Sep 21, 2021","58,231.82","61,033.86","62,024.75","56,683.29","0.21K","-4.59%"
"Sep 20, 2021","61,033.86","67,348.63","67,425.36","60,413.52","0.14K","-9.38%"
"Sep 19, 2021","67,348.63","68,676.81","68,761.05","66,781.03","0.04K","-1.93%"
"Sep 18, 2021","68,676.81","67,385.95","69,665.05","67,195.02","0.05K","1.92%"
"Sep 17, 2021","67,385.95","67,857.92","68,277.46","66,688.99","0.03K","-0.70%"
"Sep 16, 2021","67,857.92","67,744.97","68,726.13","66,665.63","0.07K","0.17%"
"Sep 15, 2021","67,744.97","66,541.91","68,315.27","66,025.27","0.05K","1.81%"
"Sep 14, 2021","66,541.91","63,435.02","66,670.67","63,128.48","0.04K","4.90%"
"Sep 13, 2021","63,435.02","64,787.32","65,822.94","61,333.92","0.08K","-2.09%"
"Sep 12, 2021","64,787.32","63,647.07","65,545.48","63,192.83","0.07K","1.79%"
"Sep 11, 2021","63,647.07","63,300.39","65,293.33","63,207.16","0.05K","0.55%"
"Sep 10, 2021","63,300.39","65,368.88","66,727.53","62,312.74","0.10K","-3.16%"
"Sep 09, 2021","65,368.88","65,092.47","66,676.87","64,390.50","0.09K","0.42%"
"Sep 08, 2021","65,092.47","65,163.85","66,386.60","65,013.22","0.10K","-1.23%"
"Sep 07, 2021","65,901.17","73,853.97","74,122.66","61,171.01","0.20K","-10.77%"
"Sep 06, 2021","73,853.97","72,559.95","73,870.40","71,623.57","0.07K","1.78%"
"Sep 05, 2021","72,559.95","70,151.53","72,944.82","69,580.92","0.12K","3.43%"
"Sep 04, 2021","70,151.53","70,039.61","70,884.88","69,387.95","0.04K","0.16%"
"Sep 03, 2021","70,039.61","69,553.94","71,391.98","68,243.97","0.14K","0.70%"
"Sep 02, 2021","69,553.94","69,163.54","71,175.33","68,952.84","0.06K","0.56%"
"Sep 01, 2021","69,163.54","67,014.10","69,433.09","66,181.75","0.08K","3.21%"
"Aug 31, 2021","67,014.10","67,406.08","68,242.76","66,541.77","0.06K","-0.58%"
"Aug 30, 2021","67,406.08","69,882.56","69,918.32","67,236.86","0.06K","-3.54%"
"Aug 29, 2021","69,882.56","70,022.18","71,009.76","68,449.11","0.07K","-0.20%"
